"Unhealthy.Focus.Food.Category","Food.sub.category","Product","Year","Month","total"
"Edible Oils and Spreads","Butter","Magarine, exc liquid Magarine",2024,"December",19950879
"Edible Oils and Spreads","Cooking Oil","Maize Corn oil and its fractions",2024,"December",4612375
"Edible Oils and Spreads","Cooking Oil","Other linseed oil and its fractions",2024,"December",52385
"Edible Oils and Spreads","Cooking Oil","Palm Oil",2024,"December",6551006
"Edible Oils and Spreads","Cooking Oil","Vegetable oil",2024,"December",2581174
"Energy-dense beverages","Cordial","Cordial/Concentrate/Powder",2024,"December",15719880
"Energy-dense beverages","Electrolyte drinks","Sports drinks",2024,"December",43038510
"Energy-dense beverages","Soft Drinks","Sugar-sweetened",2024,"December",43015792
"Fatty Meat Products ","Canned Meats","Corned mutton, corned beef, spam, canned chicken, ham, turkey, etc",2024,"December",42702568
"Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties",2024,"December",123760988
"Savoury ready to eat snacks","Crisps and snacks","Snack packs, corn chips, potato chips, other (dried peas etc)",2024,"December",13780581
"Savoury ready to eat snacks","Noodles","Instant, flavoured",2024,"December",32554707
"Sugar and other Caloric Sweeteners","Sugar","Natural cane and refined sugar",2024,"December",10948921
"Sweet Snacks","Homogenized preparations","Sugar-sweetened",2024,"December",1104009
"Sweet Snacks","Jams and fruit jellies, nut paste","Sugar-sweetened",2024,"December",448026
"Sweet Snacks","Preserved Fruits and Nuts","Sugar-sweetened",2024,"December",5546850
"Sweet snacks","Bakery products","Sweet biscuits, Cakes and pastries",2024,"December",130229959
"Sweet snacks","Confectionary","Chocolate and sweets (chocolate and sugar based), Chewing gum",2024,"December",39601150
